id,name,popularity,duration_ms,explicit,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist
2QwObYJWyJTiozvs0RI7CF,Street Spirit (Fade Out),64,253853,false,1995-03-13,0.488,0.454,4,-11,0,0.0304,0.317,0.694,0.179,0.131,138.076,4,Radiohead
2RUfZnDBLgXeO2A1XOj0ss,The Importance Of Being Idle,55,219827,false,2005-05-30,0.568,0.87,9,-2,0,0.0332,0.0459,0.0,0.12,0.585,109.819,4,Oasis
2UJesnGdalQaywJendkm10,Friday on My Mind - 2015 Remaster,34,176947,false,1973-10-19,0.576,0.672,9,-11,1,0.0472,0.0771,0.0,0.335,0.744,94.441,4,David Bowie
2V5SGZFsF1yoDakHRwrmma,Champagne Supernova,38,449333,false,2006-11-13,0.305,0.872,2,-2,1,0.0411,0.22,0.00436,0.358,0.104,150.418,4,Oasis
2WeHjD3AEaBlz1nkrmPjgJ,Absolute Beginners - Full Length Version,40,483467,false,1986-01-01,0.566,0.754,2,-9,1,0.036,0.0826,0.142,0.219,0.465,114.2,4,David Bowie
2aEZr9RoRqpKA1a3JTlILU,Lord Don't Slow Me Down - Radio Version,46,202693,false,2007-01-01,0.404,0.862,6,-2,1,0.0404,0.0337,0.0,0.103,0.455,133.094,4,Oasis
2dphvmoLEXdk8hOYxmHlI3,Strawberry Swing,56,249667,false,2008-05-26,0.378,0.663,1,-10,1,0.0458,0.00722,0.797,0.191,0.428,173.136,4,Coldplay
2egV8HleCtAVZeVAFJtJr0,Five Years - Live; 2017 Remaster,12,238240,false,2017-09-29,0.543,0.541,0,-9,1,0.0631,0.0626,0.0,0.645,0.446,144.835,3,David Bowie
2kRFrWaLWiKq48YYVdGcm8,Everything In Its Right Place,66,251427,false,2000-10-02,0.296,0.463,5,-11,0,0.0449,0.705,0.0482,0.0954,0.0629,123.943,5,Radiohead
2klLrvEu0OroEWsJWeafWp,Gas Panic!,48,368253,false,2000-02-28,0.349,0.664,5,-6,0,0.0408,0.0133,0.00257,0.39,0.287,148.059,4,Oasis
2lIpthDu5syZAm4pe3VGVR,She Is Love,24,189360,false,2002-06-26,0.49,0.654,0,-6,1,0.0288,0.416,1.19E-6,0.14,0.478,89.972,4,Oasis
2m6wV3SNhIrC6TkcyjNUv4,Stay Young - Remastered,41,308173,false,1997-08-21,0.381,0.98,2,-2,1,0.0691,0.00509,7.9E-4,0.338,0.223,126.053,4,Oasis
2qQBPCjY7WQiqO4LEp9wsU,My Big Mouth - Remastered,39,311333,false,1997-01-01,0.355,0.979,2,-1,0,0.0712,0.00309,0.00925,0.675,0.219,135.172,4,Oasis
2tBxJ43XiwEzhf7Xalc5UG,Songbird,55,127600,false,2002-07-01,0.491,0.561,2,-6,1,0.0279,0.274,2.16E-6,0.23,0.543,134.881,4,Oasis
2tYaeCsyCOf4wn5bBUPPdr,Talk Tonight - Live at Bath Pavillion,33,222187,false,1995-01-01,0.279,0.608,0,-6,1,0.0281,0.249,0.0,0.139,0.463,92.266,4,Oasis
2u2WL5N3KnQnykOZi3fxL6,Swallowed in the Sea,54,239002,false,2005-06-07,0.265,0.378,11,-10,1,0.0316,0.0557,1.29E-6,0.119,0.153,142.1,4,Coldplay
2vafeA2kp9ldDJTfm21uVA,Tonight (with Tina Turner) - 1999 Remaster,23,225440,false,1984-01-01,0.811,0.388,9,-9,1,0.03,0.0343,0.0501,0.06,0.799,98.455,4,David Bowie
2wOvYLilnDJfuPXGHGFAWZ,Ripcord,45,189733,false,1993-02-22,0.255,0.906,2,-10,1,0.0548,1.98E-5,0.358,0.322,0.256,137.951,4,Radiohead
2wToK3W4tScxgpAinchUYf,Violet Hill,47,222653,false,2008-06-12,0.33,0.58,1,-7,0,0.0374,0.0614,0.00129,0.115,0.11,76.093,4,Coldplay
2yfKkvgywRAY9xy849piLp,Subterraneans - 2017 Remaster,40,343173,false,1977-01-01,0.158,0.159,6,-16,0,0.0363,0.653,0.393,0.0942,0.0597,132.245,4,David Bowie
30C1FoJzEhNUILsxghioGz,Lurgee,44,187867,false,1993-02-22,0.42,0.548,0,-12,1,0.0268,1.35E-4,0.399,0.111,0.409,101.888,4,Radiohead
37CRPk0L5ZpfPeePEPwE0t,Ashes to Ashes - 2017 Remaster,65,266160,false,1980-01-01,0.71,0.743,1,-10,1,0.0507,0.273,4.06E-4,0.258,0.866,120.277,4,David Bowie
3FsbnzT1WGdKNemelAbbuX,"I Hope, I Think, I Know",36,262467,false,1997-08-21,0.357,0.975,2,-2,1,0.0594,4.71E-4,0.00559,0.446,0.199,137.067,4,Oasis
3HYunJIJ3OfOZnTu2R8svE,Paradise,6,286347,false,2021-04-09,0.637,0.737,2,-6,0,0.0405,0.0123,0.145,0.0798,0.645,130.012,4,Coldplay
3MCuDi4gQrf7Xms8lTpTAx,Don't Go Away,55,288600,false,1997-08-21,0.426,0.838,0,-4,1,0.0362,0.0532,3.02E-6,0.0829,0.182,81.089,4,Oasis
3RErQ95ws6sABDLXKLJy1s,Underneath The Sky - Remastered,39,204653,false,1995-01-01,0.44,0.951,11,-2,0,0.0527,0.00131,0.0,0.36,0.72,124.134,4,Oasis
3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,81,258267,false,2015-12-04,0.491,0.693,0,-6,0,0.0377,0.211,6.92E-6,0.325,0.412,90.027,4,Coldplay
3WJGK9qI2giMx6GrF36Slq,Talk Tonight,53,261107,false,1998-11-03,0.393,0.443,4,-8,0,0.0265,0.485,4.25E-5,0.371,0.353,84.966,4,Oasis
3ZE3wv8V3w2T2f7nOCjV0N,Life on Mars? - 2015 Remaster,72,235987,false,1971-12-17,0.442,0.384,10,-14,1,0.0414,0.639,7.7E-5,0.0539,0.216,123.281,4,David Bowie
3aHl74ctcELDYWDQvLbKLX,Starman - 2012 Remaster,37,254293,false,2015-09-25,0.486,0.449,5,-10,1,0.0267,0.166,2.23E-6,0.54,0.549,100.456,4,David Bowie
