id,name,popularity,duration_ms,explicit,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist
3MXzl6hq3vSqB8ZlKVGkRi,Fifteen,40,295333,false,2008-01-01,0.559,0.627,7,-4,1,0.0264,0.0647,0.0,0.137,0.204,95.452,4,Taylor Swift
3RBluWmSoG2pGA1OePzGJI,The Story Of Us,64,265667,false,2010-10-25,0.543,0.818,4,-3,1,0.0398,0.00478,3.68E-4,0.0357,0.683,139.898,4,Taylor Swift
3SBGfIPUVlqt1YGxgZXoJ9,Fearless,40,243093,false,2008-01-01,0.591,0.703,5,-4,1,0.0279,0.0365,0.0,0.307,0.442,100.036,4,Taylor Swift
3WUbVS0J4Ulf0XZR6LNRnh,"Eh, Eh (Nothing Else I Can Say)",51,175360,false,2008-01-01,0.68,0.876,1,-3,0,0.0577,0.246,1.87E-4,0.0788,0.816,187.785,4,Lady Gaga
3Z0oQ8r78OUaHvGPiDBR3W,Into the Unknown,77,194848,false,2019-11-15,0.323,0.405,10,-8,0,0.0413,0.849,5.44E-4,0.138,0.274,145.104,5,AURORA
3as6Wz3mwbTnusWhZjTUNr,You Belong With Me,59,231147,false,2008-11-11,0.687,0.771,6,-4,1,0.0384,0.164,2.46E-5,0.112,0.445,129.964,4,Taylor Swift
3fVnlF4pGqWI9flVENcT28,Wildest Dreams,78,220440,false,2014-01-01,0.553,0.664,8,-7,1,0.0741,0.0709,0.0056,0.106,0.467,140.06,4,Taylor Swift
3lxrdos6O9eZit1KMfz9A1,Runaway,53,227933,false,2007-04-17,0.567,0.936,0,-2,1,0.0537,7.17E-5,0.306,0.162,0.677,134.975,4,Avril Lavigne
3okZYmjCyOilKfIQTAEbm7,I ukjent land,45,194867,false,2019-11-22,0.462,0.408,1,-8,1,0.0362,0.842,0.00109,0.139,0.391,107.393,4,AURORA
3zwMVvkBe2qIKDObWgXw4N,right where you left me - bonus track,73,245027,false,2021-01-07,0.581,0.619,10,-6,1,0.0282,0.769,1.06E-4,0.117,0.645,137.915,4,Taylor Swift
43rA71bccXFGD4C8GOpIlN,I Forgot That You Existed,74,170640,false,2019-08-23,0.664,0.316,5,-10,1,0.519,0.298,2.03E-6,0.0812,0.541,92.875,4,Taylor Swift
47HtKpfzpAt8rQjjXWotFj,Forever & Always,60,225320,false,2008-11-11,0.608,0.821,10,-4,1,0.0576,0.0752,0.0,0.11,0.544,128.042,4,Taylor Swift
4AYtqFyFbX0Xkc2wtcygTr,Soon You’ll Get Better (feat. The Chicks),67,201587,false,2019-08-23,0.433,0.182,0,-12,1,0.0641,0.907,0.0,0.123,0.421,207.476,4,Taylor Swift
4EUQXLipplO2v9mVaqQtjc,Last Kiss,58,367147,false,2010-01-01,0.359,0.329,10,-9,1,0.0293,0.581,3.75E-5,0.0979,0.208,84.358,3,Taylor Swift
4LraIz87diVQdDK0rhi0S4,Innocent,43,302267,false,2010-01-01,0.553,0.604,1,-5,0,0.0258,0.202,0.0,0.125,0.186,133.989,4,Taylor Swift
4NNolUeL5m2ju7kf8pdg6H,All You Had To Do Was Stay,62,193293,false,2014-01-01,0.602,0.735,5,-5,1,0.0337,0.00196,4.77E-5,0.105,0.472,96.969,4,Taylor Swift
4RBKAqJ3qyvvriDG0s9IJ3,Love Story - Live From Clear Channel Stripped 2008,42,221028,false,2008-06-28,0.741,0.444,2,-7,1,0.0311,0.659,0.0,0.131,0.512,119.006,4,Taylor Swift
4SHyS2ThjrS1iBGruKweCz,Bad Blood,45,211933,false,2014-10-27,0.646,0.794,7,-6,1,0.19,0.0885,6.16E-6,0.201,0.287,170.216,4,Taylor Swift
4UMZpWNYEDT2vVALzWdcCo,Nobody's Fool,55,237333,false,2002-06-04,0.497,0.877,4,-6,1,0.059,9.42E-4,0.0,0.127,0.459,89.98,4,Avril Lavigne
4UPcXTh26ilb7owtuyHqNI,Keep Holding On,65,239907,false,2007-04-17,0.162,0.786,7,-2,1,0.038,0.0374,0.0,0.143,0.138,161.192,3,Avril Lavigne
4XMP3zVxrnr58T0tjIHvpR,All Too Well,57,327893,false,2012-10-22,0.602,0.609,0,-7,1,0.0243,0.0382,2.0E-4,0.127,0.337,93.06,4,Taylor Swift
4bia7OWZPoswlzXCqESYrR,Smile,64,209520,true,2011-03-08,0.634,0.848,1,-3,0,0.047,0.00237,0.0,0.0681,0.647,105.055,4,Avril Lavigne
4ewAfHYpDTzpW1GKO44CVP,Long Live,58,317960,false,2010-01-01,0.412,0.682,7,-4,1,0.0339,0.0426,7.47E-5,0.106,0.146,203.959,4,Taylor Swift
4pEZUytwBzha5Un6m3SCFf,The Way I Loved You,63,244240,false,2008-11-11,0.436,0.712,5,-3,1,0.0329,0.0322,0.0,0.111,0.379,160.886,4,Taylor Swift
4pFvEWbjBpPUdYRQly0THs,Today Was A Fairytale,57,242480,false,2011-02-15,0.491,0.703,7,-4,1,0.0319,0.0307,5.72E-6,0.167,0.344,157.988,4,Taylor Swift
4pJi1rVt9GNegU9kywjg4z,Teardrops on My Guitar - Pop Version,53,179067,false,2006-10-24,0.459,0.753,10,-3,1,0.0537,0.0402,0.0,0.0863,0.483,199.997,4,Taylor Swift
4pl5zcqCv4vc3cB7M4MZ6f,Come In With The Rain,53,238107,false,2008-11-11,0.527,0.475,2,-6,1,0.0258,0.0868,4.34E-6,0.248,0.224,143.962,4,Taylor Swift
4qyalTRMRH5YuEntvvMvq0,Come Back...Be Here,56,222707,false,2012-10-22,0.483,0.548,4,-6,1,0.0254,0.00471,2.01E-6,0.0997,0.217,79.926,4,Taylor Swift
4u8q2Gddnu8jqCFzxm5IZs,Hair,54,307893,false,2011-05-23,0.57,0.923,5,-3,1,0.063,0.00116,9.01E-6,0.141,0.403,135.006,4,Lady Gaga
4uoyvFGK43Of4v9tj0moxC,Begin Again,60,239427,false,2012-10-22,0.53,0.526,7,-8,1,0.0263,0.199,3.52E-6,0.14,0.323,79.025,4,Taylor Swift
4vWTULAbqJAgqBqK2CxSY9,willow,56,214707,false,2020-12-11,0.392,0.574,7,-9,1,0.17,0.833,0.00179,0.145,0.529,81.112,4,Taylor Swift
4wB4cPK52RCQviHm4SC2wa,Poker Face,9,238907,false,2020-10-23,0.851,0.818,4,-4,1,0.0789,0.112,2.94E-6,0.0945,0.808,119.006,4,Lady Gaga
51A8eKvvZz9uydvIZ7xRSV,Superstar (Taylor’s Version),73,263865,false,2021-04-09,0.454,0.555,2,-6,1,0.0283,0.157,0.0,0.343,0.171,171.862,4,Taylor Swift
54JKnDB3CzVu8wNAOM27BI,When You're Gone,70,240493,false,2007-04-17,0.457,0.719,4,-3,0,0.0323,0.191,0.0,0.228,0.168,142.034,4,Avril Lavigne
55mh9j2aB7xZ1Oh463gK8k,Better Than Revenge,49,217173,false,2010-01-01,0.519,0.917,11,-3,0,0.0887,0.0167,2.06E-5,0.359,0.652,145.882,4,Taylor Swift
